USAF,WBAN,STATION NA,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
526610,99999,SHAN-DAN,CH,,,38.799999999999997,101.082999999999998,1760.000000000000000,19560820,20020513
527020,99999,SHA-LIANG-ZI,CH,,,37.917000000000002,93.349999999999994,0.000000000000000,19801005,20010903
527070,99999,T'A-ERH-TING,CH,,,37.067000000000000,92.867000000000004,2712.000000000000000,19570701,20020513
527130,99999,DA-QAIDAM,CH,,,37.850000000000001,95.367000000000004,3174.000000000000000,19570630,20180723
527370,99999,DELINGHA,CH,,,37.366999999999997,97.367000000000004,2982.000000000000000,19560820,20180723
527400,99999,HSIN-YUAN,CH,,,37.299999999999997,99.016999999999996,3627.000000000000000,19890928,19970514
527440,99999,KARMAR NORTHWEST,CH,,,37.500000000000000,98.799999999999997,3978.000000000000000,19610316,19620621
527530,99999,BOGUS CHINESE,CH,,,37.683000000000000,100.700000000000003,3353.000000000000000,19740612,19850306
527540,99999,GANGCA,CH,,,37.332999999999998,100.132999999999996,3302.000000000000000,19610316,20180723
528130,99999,GOL-MUD (?),CH,,,36.817000000000000,95.349999999999994,2731.000000000000000,19731109,20011126
528180,99999,GOLMUD,CH,,ZLGM,36.417000000000002,94.900000000000006,2809.000000000000000,19560820,20180723
528250,99999,NUO-MU-HONG,CH,,,36.450000000000003,96.466999999999999,2804.000000000000000,19570601,20021025
528330,99999,SERH,CH,,,36.950000000000003,98.349999999999994,2987.000000000000000,19890901,20020513
528360,99999,DOULAN,CH,,,36.299999999999997,98.099999999999994,3190.000000000000000,19560820,20180723
528380,99999,HSIANG-JIH-TE NE,CH,,,36.067000000000000,97.750000000000000,2976.000000000000000,19731108,19750414
528420,99999,CHA-KA,CH,,,36.783000000000001,99.082999999999998,2925.000000000000000,19610901,20001028
528560,99999,GONGHE,CH,,,36.350000000000001,100.783000000000001,2743.000000000000000,19560820,20020513
529070,99999,BOGUS CHINESE,CH,,,35.167000000000002,92.832999999999998,4877.000000000000000,19740601,20020310
529080,99999,WUDAOLIANG,CH,,,35.216999999999999,93.082999999999998,4613.000000000000000,19570701,20180723
529400,99999,APPROXIMATE LOCALE,CH,,,35.500000000000000,99.332999999999998,0.000000000000000,19841101,19851116
529410,99999,NAME UNKNOWN,CH,,,35.716999999999999,98.917000000000002,3962.000000000000000,19900101,20101225
529420,99999,ZIKETAN WEST,CH,,,35.767000000000003,99.167000000000002,4723.000000000000000,19600101,19600430
529430,99999,XINGHAI,CH,,,35.750000000000000,99.983000000000004,3200.000000000000000,19600601,20020923
529470,99999,APPROXIMATE LOCALE,CH,,,35.167000000000002,98.750000000000000,0.000000000000000,19831203,19850625
529550,99999,GUINAN,CH,,,35.582999999999998,100.750000000000000,3123.000000000000000,20010802,20180723
529570,99999,TONGDE,CH,,,35.267000000000003,100.650000000000006,3290.000000000000000,19560820,19990422
529580,99999,APPROXIMATE LOCALE,CH,,,35.267000000000003,100.650000000000006,0.000000000000000,19731129,19890816
552280,99999,SHIQUANHE,CH,,,32.500000000000000,80.082999999999998,4280.000000000000000,19610701,20180723
552480,99999,LUMARINGBO,CH,,,32.299999999999997,84.049999999999997,4420.000000000000000,19730313,20111117
552790,99999,BAINGOIN,CH,,,31.367000000000001,90.016999999999996,4701.000000000000000,19570701,20180723
552940,99999,P'A-NA,CH,,,32.267000000000003,91.667000000000002,4724.000000000000000,19801001,20020207
552990,99999,NAGQU,CH,,,31.483000000000001,92.066999999999993,4508.000000000000000,19560820,20180723
553850,99999,BOGUS CHINESE,CH,,,31.480000000000000,92.060000000000002,-999.000000000000000,20010717,20011008
554370,99999,T'U-KO-ERH-HO-KUNG,CH,,,30.550000000000001,81.433000000000007,4736.000000000000000,19730313,20111117
554720,99999,XAINZA,CH,,,30.949999999999999,88.632999999999996,4670.000000000000000,19600307,20180723
554880,99999,DEQEN SOUTH,CH,,,30.332999999999998,90.082999999999998,5304.000000000000000,19591210,19620630
554930,99999,ZHA-TE-KE-TANG,CH,,,30.733000000000001,92.450000000000003,4724.000000000000000,19630101,20020429
555690,99999,LHAZE,CH,,,29.067000000000000,87.683000000000007,4237.000000000000000,19801001,20020207
555780,99999,XIGAZE,CH,,,29.250000000000000,88.882999999999996,3837.000000000000000,19570701,20180723
555850,99999,BOGUS CHINESE,CH,,,29.500000000000000,90.250000000000000,-999.000000000000000,19801027,20070914
555910,99999,LHASA,CH,,ZULS,29.667000000000002,91.132999999999996,3650.000000000000000,19560820,20180723
555980,99999,NEDONG,CH,,,29.233000000000001,91.766999999999996,3657.000000000000000,19591209,20020207
556560,99999,YALEP,CH,,,28.382999999999999,86.150000000000006,5181.000000000000000,19800902,20020607
556640,99999,TINGRI,CH,,,28.632999999999999,87.082999999999998,4300.000000000000000,19591210,20180723
556800,99999,GYANGZE,CH,,,29.000000000000000,89.632999999999996,3657.000000000000000,19591209,20020207
556900,99999,CHE-KU,CH,,,28.699999999999999,91.632999999999996,4336.000000000000000,19870311,20080712
556960,99999,LHUNZE,CH,,,28.417000000000002,92.466999999999999,3861.000000000000000,19591209,20180723
557730,99999,PAGRI,CH,,,27.733000000000001,89.082999999999998,4300.000000000000000,19560820,20180723
560040,99999,TUOTUOHE,CH,,,34.216999999999999,92.433000000000007,4535.000000000000000,19570701,20180723
560070,99999,AMDO NORTHEAST,CH,,,33.417000000000002,92.832999999999998,4648.000000000000000,19591209,19620331
560160,99999,BIE-LI-XI-DU,CH,,,34.100000000000001,95.033000000000001,4785.000000000000000,19730101,20030305
560180,99999,ZADOI,CH,,,32.899999999999999,95.299999999999997,4068.000000000000000,19570701,20180723
560210,99999,QUMARLEB,CH,,,34.133000000000003,95.783000000000001,4176.000000000000000,19570701,20180723
560290,99999,YUSHU,CH,,,33.017000000000003,96.950000000000003,3682.000000000000000,19560820,20180723
560295,99999,YUSHU BATANG AIRPORT,CH,,ZLYS,32.817000000000000,97.132999999999996,3890.000000000000000,20100415,20150310
560310,99999,APPROXIMATE LOCALE,CH,,,34.832999999999998,97.466999999999999,0.000000000000000,19740809,20011017
560330,99999,MADOI,CH,,,34.917000000000002,98.216999999999999,4273.000000000000000,19560820,20180723
560340,99999,QINGSHUI-HE,CH,,,33.799999999999997,97.132999999999996,4419.000000000000000,19570701,20020207
560380,99999,SHIQU,CH,,,32.982999999999997,98.099999999999994,4114.000000000000000,19601001,20100424
560410,99999,UNKNOWN,CH,,,34.500000000000000,98.882999999999996,4175.000000000000000,19600102,20120527
560460,99999,DARLAG,CH,,,33.750000000000000,99.650000000000006,3968.000000000000000,19560820,20180723
561060,99999,SOG XIAN,CH,,,31.882999999999999,93.783000000000001,4024.000000000000000,19570701,20180723
561070,99999,TANGGO WEST,CH,,,31.550000000000001,92.867000000000004,4185.000000000000000,19731108,19740920
561160,99999,DENGQEN,CH,,,31.417000000000002,95.599999999999994,3874.000000000000000,19560820,20180723
561250,99999,NANGQEN,CH,,,32.250000000000000,96.216999999999999,4145.000000000000000,19591203,20090225
561320,99999,GAO-RIK,CH,,,32.500000000000000,97.933000000000007,3657.000000000000000,19591209,20170412
561370,99999,QAMDO,CH,,,31.149999999999999,97.167000000000002,3307.000000000000000,19560820,20180723
561430,99999,DARCANG WEST,CH,,,32.783000000000001,99.917000000000002,4147.000000000000000,19600201,19610227
561440,99999,DEGE,CH,,,31.733000000000001,98.566999999999993,3201.000000000000000,19570701,20180723
561460,99999,GARZE,CH,,,31.617000000000001,100.000000000000000,3394.000000000000000,19560820,20180723
561520,99999,SERTAR,CH,,,32.283000000000001,100.332999999999998,3896.000000000000000,19610105,20180723
562020,99999,JIA-LI,CH,,,30.783000000000001,93.400000000000006,4876.000000000000000,19591209,20120429
562270,99999,CHING-TO EAST,CH,,,30.100000000000001,95.783000000000001,5108.000000000000000,19560820,19570531
562470,99999,BATANG,CH,,,30.000000000000000,99.099999999999994,2589.000000000000000,19560820,20180723
562510,99999,XINLONG/NYAGRONG,CH,,,30.966999999999999,100.200000000000003,3500.000000000000000,19591209,20100424
563120,99999,NYINGCHI,CH,,,29.567000000000000,94.466999999999999,3001.000000000000000,19560820,20180723
564410,99999,BAME NORTHWEST,CH,,,28.882999999999999,98.582999999999998,4413.000000000000000,19600101,19641231
564440,99999,DEQEN,CH,,,28.449999999999999,98.882999999999996,3320.000000000000000,19560820,20180723
565330,99999,LA-WAN,CH,,,27.683000000000000,98.349999999999994,3352.000000000000000,19591209,20100424
565430,99999,ZHONGDIAN,CH,,,27.699999999999999,99.700000000000003,3001.000000000000000,19591209,20100424
565480,99999,WEIXI,CH,,,27.216999999999999,99.316999999999993,2743.000000000000000,19570701,20100424
567380,99999,MENG-KA,CH,,,25.216999999999999,97.867000000000004,2134.000000000000000,19740112,19890830
567390,99999,TENGCHONG,CH,,,24.983000000000001,98.500000000000000,1696.900000000000091,19570701,20180723
567410,99999,LIU-KU,CH,,,25.783000000000001,98.849999999999994,2377.000000000000000,19591209,20020207
567480,99999,BAOSHAN,CH,,,25.117000000000001,99.183000000000007,1649.000000000000000,19440326,20180723
691596,99999,GHAZI,PK,,KQP8,33.982999999999997,72.617000000000004,341.000000000000000,20100805,20101026
692534,99999,FORT CAMPBELL / TEST,US,KY,,36.667000000000002,87.500000000000000,114.000000000000000,19870427,20060305
692874,99999,SIALKOT,PK,,KQST,32.500000000000000,74.533000000000001,255.000000000000000,19890201,20100808
697094,99999,FOB BOSTIC,AF,,KQVE,35.216999999999999,71.516999999999996,1042.000000000000000,19850423,20120630
749244,99999,DOOM-DOOMA,IN,,,27.567000000000000,95.566999999999993,130.000000000000000,19430331,19451015
749246,99999,BANSBERA NORTHEAST,IN,,,26.800000000000001,92.617000000000004,98.000000000000000,19431130,19451018
749247,99999,JHANZI WEST,IN,,,26.850000000000001,94.433000000000007,92.000000000000000,19431231,19440219
749250,99999,MORAN SOUTHWEST,IN,,,27.149999999999999,94.900000000000006,100.000000000000000,19440220,19450228
749251,99999,SADIYA,IN,,,27.850000000000001,95.667000000000002,130.000000000000000,19431231,19440430
749252,99999,DERGAON,IN,,,26.716999999999999,93.950000000000003,91.000000000000000,19440131,19450531
749253,99999,TANAI AIRPORT,BM,,VYTN,26.367000000000001,96.733000000000004,210.300000000000011,19440404,19440531
749254,99999,GUMSHEN SOUTHEAST,BM,,,26.550000000000001,97.549999999999997,1053.000000000000000,19440429,19441006
749255,99999,HPAUCHYE SOUTHEAST,BM,,,26.067000000000000,96.716999999999999,246.000000000000000,19440521,19450220
749256,99999,SHINGBWIYANG,BM,,,26.683000000000000,96.216999999999999,208.000000000000000,19440531,19450831
749257,99999,TINGRING,BM,,,25.800000000000001,96.650000000000006,187.000000000000000,19440602,19450910
749258,99999,SAHMAW,BM,,,25.233000000000001,96.783000000000001,179.000000000000000,19441031,19450430
